Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,,Intel,Core i7 X 940,509,60.4,592,https://cpu.userbenchmark.com/SpeedTest/2801/IntelR-CoreTM-i7-CPU-------X-940----213GHz,
CPU,,Intel,Core i5-2400S,510,60.4,10987,https://cpu.userbenchmark.com/SpeedTest/304/IntelR-CoreTM-i5-2400S-CPU---250GHz,
CPU,,Intel,Core i3-2125,511,60.3,639,https://cpu.userbenchmark.com/SpeedTest/3545/IntelR-CoreTM-i3-2125-CPU---330GHz,
CPU,,Intel,Core i5-1135G7,512,60.2,65911,https://cpu.userbenchmark.com/SpeedTest/1286124/11th-Gen-IntelR-CoreTM-i5-1135G7---240GHz,
CPU,CM8067703016117,Intel,Pentium G4560T,513,60.2,468,https://cpu.userbenchmark.com/SpeedTest/467086/IntelR-PentiumR-CPU-G4560T---290GHz,
CPU,BX80662G4520,Intel,Pentium G4520,514,60.1,384,https://cpu.userbenchmark.com/Intel-Pentium-G4520/Rating/3537,
CPU,,Intel,Core i7-6820HQ,515,60.1,33920,https://cpu.userbenchmark.com/SpeedTest/43500/IntelR-CoreTM-i7-6820HQ-CPU---270GHz,
CPU,,Intel,Core i7-2760QM,516,59.9,10423,https://cpu.userbenchmark.com/SpeedTest/949/IntelR-CoreTM-i7-2760QM-CPU---240GHz,
CPU,FD837EWMHKBOX,AMD,FX-8370E,517,59.9,5639,https://cpu.userbenchmark.com/AMD-FX-8370E/Rating/2984,
CPU,,Intel,Xeon E5-1603 0,518,59.9,3589,https://cpu.userbenchmark.com/SpeedTest/9880/IntelR-XeonR-CPU-E5-1603-0---280GHz,
CPU,,Intel,Xeon E5-2620 v2,519,59.9,2742,https://cpu.userbenchmark.com/SpeedTest/4718/IntelR-XeonR-CPU-E5-2620-v2---210GHz,
CPU,,Intel,Core i7-4710MQ,520,59.7,15557,https://cpu.userbenchmark.com/SpeedTest/9397/IntelR-CoreTM-i7-4710MQ-CPU---250GHz,
CPU,,Intel,Core i7-5550U,521,59.7,102,https://cpu.userbenchmark.com/SpeedTest/203876/IntelR-CoreTM-i7-5550U-CPU---200GHz,
CPU,,AMD,FX-8310,522,59.6,1697,https://cpu.userbenchmark.com/SpeedTest/18534/AMD-FXtm-8310-Eight-Core-Processor,
CPU,,Intel,Core i7-8665U,523,59.6,10156,https://cpu.userbenchmark.com/SpeedTest/740553/IntelR-CoreTM-i7-8665U-CPU---190GHz,
CPU,,Intel,Xeon L5520,524,59.5,184,https://cpu.userbenchmark.com/SpeedTest/6285/IntelR-XeonR-CPU-----------L5520----227GHz,
CPU,,Intel,Xeon E5620,525,59.4,3527,https://cpu.userbenchmark.com/SpeedTest/6971/IntelR-XeonR-CPU-----------E5620----240GHz,
CPU,,Intel,Xeon E5-2630 0,526,59.3,1768,https://cpu.userbenchmark.com/SpeedTest/6512/IntelR-XeonR-CPU-E5-2630-0---230GHz,
CPU,,AMD,FX-6350 Six-Core,527,59.2,29222,https://cpu.userbenchmark.com/SpeedTest/713/AMD-FXtm-6350-Six-Core-Processor,
CPU,,Intel,Core i3-7167U,528,59.2,41,https://cpu.userbenchmark.com/SpeedTest/357115/IntelR-CoreTM-i3-7167U-CPU---280GHz,
CPU,,Intel,Xeon E5520,529,59.1,1397,https://cpu.userbenchmark.com/SpeedTest/5884/IntelR-XeonR-CPU-----------E5520----227GHz,
CPU,,Intel,Pentium G3470,530,59.1,131,https://cpu.userbenchmark.com/SpeedTest/28614/IntelR-PentiumR-CPU-G3470---360GHz,
CPU,YD240GC6FBBOX,AMD,Athlon 240GE,531,59.1,487,https://cpu.userbenchmark.com/SpeedTest/705151/AMD-Athlon-240GE-with-Radeon-Vega-Graphics,
CPU,,Intel,Core i3-3250,532,58.7,4164,https://cpu.userbenchmark.com/SpeedTest/4950/IntelR-CoreTM-i3-3250-CPU---350GHz,
CPU,,Intel,Core i7-6700HQ,533,58.7,320434,https://cpu.userbenchmark.com/SpeedTest/34954/IntelR-CoreTM-i7-6700HQ-CPU---260GHz,
CPU,HDE00ZFBGRBOX,AMD,Phenom II X6 1100T,534,58.6,12769,https://cpu.userbenchmark.com/AMD-Phenom-II-X6-1100T/Rating/2004,
CPU,CW8064701470702,Intel,Core i7-4700MQ,535,58.6,69603,https://cpu.userbenchmark.com/Intel-Core-i7-4700MQ/Rating/2727,
CPU,,Intel,Core X 920,536,58.6,79,https://cpu.userbenchmark.com/SpeedTest/7179/IntelR-CoreTM-CPU----------X-920----200GHz,
CPU,FD8150FRGUBOX,AMD,FX-8150,537,58.6,22181,https://cpu.userbenchmark.com/AMD-FX-8150/Rating/2006,
CPU,BX80637I33225,Intel,Core i3-3225,538,58.5,3345,https://cpu.userbenchmark.com/Intel-Core-i3-3225/Rating/1488,
CPU,,Intel,Core i7-2820QM,539,58.5,4929,https://cpu.userbenchmark.com/SpeedTest/3145/IntelR-CoreTM-i7-2820QM-CPU---230GHz,
