Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,,PHD,3.0 Silicon-Power 1TB,89,31.1,4921,https://usb.userbenchmark.com/SpeedTest/5127/PHD-30-Silicon-Power
USB,,ST320005,42AS 2TB,90,31,53,https://usb.userbenchmark.com/SpeedTest/11690/ST320005-42AS
USB,,Seagate,USB 3.0 Cable 750GB,91,30.9,73,https://usb.userbenchmark.com/SpeedTest/4966/Seagate-USB-30-Cable
USB,,WD,My Passport 0816 500GB,92,30.8,17,https://usb.userbenchmark.com/SpeedTest/9999/WD-My-Passport-0816
USB,,WD,My Book 1130 2TB,93,30.7,1666,https://usb.userbenchmark.com/SpeedTest/2726/WD-My-Book-1130
USB,,ADATA,HV620 2TB,94,30.6,747,https://usb.userbenchmark.com/SpeedTest/4365/ADATA-HV620
USB,,WD,My Passport 1.5TB,95,30.5,802,https://usb.userbenchmark.com/SpeedTest/4563/WD-My-Passport-0748
USB,,WD,My Passport 2TB,96,30.4,10723,https://usb.userbenchmark.com/SpeedTest/1213/WD-My-Passport-0748
USB,,WD,My Passport 07A8 500GB,97,30.2,1257,https://usb.userbenchmark.com/SpeedTest/1639/WD-My-Passport-07A8
USB,,Intenso,USB 3.0 Device 1TB,98,30.1,1714,https://usb.userbenchmark.com/SpeedTest/12049/Intenso-USB-30-Device
USB,,WD,My Passport 0810 1TB,99,30.1,5284,https://usb.userbenchmark.com/SpeedTest/3372/WD-My-Passport-0810
USB,,WD,My Passport 0820 1TB,100,30,16483,https://usb.userbenchmark.com/SpeedTest/6273/WD-My-Passport-0820
USB,,Seagate,Wireless 1TB,101,29.9,411,https://usb.userbenchmark.com/SpeedTest/11345/Seagate-Wireless
USB,,WD,My Book 1140 1TB,102,29.9,1745,https://usb.userbenchmark.com/SpeedTest/2598/WD-My-Book-1140
USB,,WD,My Passport 0741 2TB,103,29.9,1643,https://usb.userbenchmark.com/SpeedTest/2722/WD-My-Passport-0741
USB,,Sony,Hard Drive 1TB,104,29.7,2286,https://usb.userbenchmark.com/SpeedTest/3633/Sony-Hard-Drive
